鄉鎮市區.x,...1,Unnamed..0,學校級別,代碼,School,City,地址,電話,地區屬性,longitude,latitude,newLat,newLng,isInService_foodpanda,inServiceUber
士林區,2495,2495,國民小學,413615,市立天母國小,臺北市,[111]臺北市士林區天玉里天玉街12號,(02)28723336,,121.527457,25.119736,25.1197914,121.5275331,1,1
大同區,2420,2420,國民小學,363605,市立雙蓮國小,臺北市,[103]臺北市大同區民權里錦西街51號,(02)25570309,,121.516672,25.060118,25.0601292,121.5167604,1,1
大安區,2391,2391,國民小學,333605,市立仁愛國小,臺北市,[106]臺北市大安區敦安里安和路1段60號,(02)27095010,,121.552386,25.035792,25.033995,121.552172,1,1
中山區,2397,2397,國民小學,343601,市立中山國小,臺北市,[104]臺北市中山區恆安里民權東路1段69號,(02)25914085,,121.526315,25.062914,25.0621027,121.5378875,1,1
中正區,2413,2413,國民小學,353606,市立東門國小,臺北市,[100]臺北市中正區東門里仁愛路一段2-4號,(02)23412822,,121.520643,25.038022,25.038555,121.5218006,1,1
內湖區,2470,2470,國民小學,403604,市立東湖國小,臺北市,[114]臺北市內湖區東湖里東湖路115號,(02)26339984,,121.615782,25.06854,25.0690833,121.616145,1,1
文山區,2438,2438,國民小學,381601,私立靜心小學,臺北市,[116]臺北市文山區興福里興隆路2段46號,(02)29323118,,121.546673,24.99896,24.9985757,121.5470355,1,1
北投區,2503,2503,國民小學,423603,市立石牌國小,臺北市,[112]臺北市北投區吉利里致遠二路80號,(02)28227484,,121.511745,25.11569,25.1156862,121.5117748,1,1
松山區,2368,2368,國民小學,313604,市立敦化國小,臺北市,[105]臺北市松山區中正里敦化北路2號,(02)27414065,,121.548541,25.049103,25.0491723,121.5485239,1,1
信義區,2382,2382,國民小學,323609,市立博愛國小,臺北市,[110]臺北市信義區松仁路22鄰95巷20號,(02)23450616,,121.571139,25.036444,25.0395323,121.5675875,1,1
南港區,2460,2460,國民小學,393601,市立南港國小,臺北市,[115]臺北市南港區三重里惠民街67號,(02)27834678,,121.610426,25.057483,25.0574474,121.610126,1,1
萬華區,2425,2425,國民小學,371601,私立光仁小學,臺北市,[108]臺北市萬華區壽德里萬大路423巷15號,(02)23032874,,121.499739,25.021337,25.0216581,121.4995811,1,1
大甲區,746,746,國民小學,64665,市立大甲國小,臺中市,[437]臺中市大甲區文武里育德路233號,(04)26872048,,120.825113,24.505323,24.3511578,120.626394,1,1
大安區,763,763,國民小學,64682,市立大安國小,臺中市,[439]臺中市大安區中庄里中山南路296號,(04)26713166,,120.711465,24.301472,24.3446936,120.5882533,1,1
大肚區,781,781,國民小學,64700,市立大肚國小,臺中市,[432]臺中市大肚區頂街里華山路77號,(04)26992016,,120.535156,24.072469,24.162799,120.543284,1,1
大里區,789,789,國民小學,64708,市立塗城國小,臺中市,[412]臺中市大里區仁德里文化街120號,(04)24922935,,120.82431,24.564225,24.0928822,120.7002666,1,1
