newLat,newLng,geometry,
21.9414135330001,120.720446352,c(120.720446352,21.9414135330001)
21.9414135330001,120.800460992,c(120.800460992,21.9414135330001)
21.9414135330001,120.840468312,c(120.840468312,21.9414135330001)
21.9814483630001,120.720446352,c(120.720446352,21.9814483630001)
21.9814483630001,120.760453672,c(120.760453672,21.9814483630001)
21.9814483630001,120.800460992,c(120.800460992,21.9814483630001)
21.9814483630001,120.840468312,c(120.840468312,21.9814483630001)
22.0214831930001,120.720446352,c(120.720446352,22.0214831930001)
22.0214831930001,120.760453672,c(120.760453672,22.0214831930001)
22.0214831930001,120.800460992,c(120.800460992,22.0214831930001)
22.0214831930001,120.840468312,c(120.840468312,22.0214831930001)
22.0214831930001,120.880475632,c(120.880475632,22.0214831930001)
22.0214831930001,121.560600072,c(121.560600072,22.0214831930001)
22.0214831930001,121.600607392,c(121.600607392,22.0214831930001)
22.0615180230001,120.720446352,c(120.720446352,22.0615180230001)
22.0615180230001,120.760453672,c(120.760453672,22.0615180230001)
22.0615180230001,120.800460992,c(120.800460992,22.0615180230001)
22.0615180230001,120.840468312,c(120.840468312,22.0615180230001)
22.0615180230001,120.880475632,c(120.880475632,22.0615180230001)
22.0615180230001,121.520592752,c(121.520592752,22.0615180230001)
22.0615180230001,121.560600072,c(121.560600072,22.0615180230001)
22.1015528530001,120.720446352,c(120.720446352,22.1015528530001)
22.1015528530001,120.760453672,c(120.760453672,22.1015528530001)
22.1015528530001,120.800460992,c(120.800460992,22.1015528530001)
22.1015528530001,120.840468312,c(120.840468312,22.1015528530001)
22.1015528530001,120.880475632,c(120.880475632,22.1015528530001)
22.1415876830001,120.720446352,c(120.720446352,22.1415876830001)
22.1415876830001,120.760453672,c(120.760453672,22.1415876830001)
22.1415876830001,120.800460992,c(120.800460992,22.1415876830001)
22.1415876830001,120.840468312,c(120.840468312,22.1415876830001)
22.1415876830001,120.880475632,c(120.880475632,22.1415876830001)
22.1816225130001,120.720446352,c(120.720446352,22.1816225130001)
22.1816225130001,120.760453672,c(120.760453672,22.1816225130001)
22.1816225130001,120.800460992,c(120.800460992,22.1816225130001)
22.1816225130001,120.840468312,c(120.840468312,22.1816225130001)
22.1816225130001,120.880475632,c(120.880475632,22.1816225130001)
22.2216573430001,120.680439032,c(120.680439032,22.2216573430001)
22.2216573430001,120.720446352,c(120.720446352,22.2216573430001)
22.2216573430001,120.760453672,c(120.760453672,22.2216573430001)
22.2216573430001,120.800460992,c(120.800460992,22.2216573430001)
22.2216573430001,120.840468312,c(120.840468312,22.2216573430001)
22.2216573430001,120.880475632,c(120.880475632,22.2216573430001)
22.261692173,120.680439032,c(120.680439032,22.261692173)
22.261692173,120.720446352,c(120.720446352,22.261692173)
22.261692173,120.760453672,c(120.760453672,22.261692173)
22.261692173,120.800460992,c(120.800460992,22.261692173)
22.261692173,120.840468312,c(120.840468312,22.261692173)
22.261692173,120.880475632,c(120.880475632,22.261692173)
22.3017270030001,120.680439032,c(120.680439032,22.3017270030001)
22.3017270030001,120.720446352,c(120.720446352,22.3017270030001)
22.3017270030001,120.760453672,c(120.760453672,22.3017270030001)
22.3017270030001,120.800460992,c(120.800460992,22.3017270030001)
22.3017270030001,120.840468312,c(120.840468312,22.3017270030001)
22.3017270030001,120.880475632,c(120.880475632,22.3017270030001)
22.341761833,120.640431712,c(120.640431712,22.341761833)
22.341761833,120.680439032,c(120.680439032,22.341761833)
22.341761833,120.720446352,c(120.720446352,22.341761833)
22.341761833,120.760453672,c(120.760453672,22.341761833)
22.341761833,120.800460992,c(120.800460992,22.341761833)
22.341761833,120.840468312,c(120.840468312,22.341761833)
22.341761833,120.880475632,c(120.880475632,22.341761833)
22.3817966630001,120.600424392,c(120.600424392,22.3817966630001)
22.3817966630001,120.640431712,c(120.640431712,22.3817966630001)
22.3817966630001,120.680439032,c(120.680439032,22.3817966630001)
22.3817966630001,120.720446352,c(120.720446352,22.3817966630001)
22.3817966630001,120.760453672,c(120.760453672,22.3817966630001)
22.3817966630001,120.800460992,c(120.800460992,22.3817966630001)
22.3817966630001,120.840468312,c(120.840468312,22.3817966630001)
22.3817966630001,120.880475632,c(120.880475632,22.3817966630001)
22.4218314930001,120.520409752,c(120.520409752,22.4218314930001)
22.4218314930001,120.560417072,c(120.560417072,22.4218314930001)
22.4218314930001,120.600424392,c(120.600424392,22.4218314930001)
22.4218314930001,120.640431712,c(120.640431712,22.4218314930001)
22.4218314930001,120.680439032,c(120.680439032,22.4218314930001)
22.4218314930001,120.720446352,c(120.720446352,22.4218314930001)
22.4218314930001,120.760453672,c(120.760453672,22.4218314930001)
22.4218314930001,120.800460992,c(120.800460992,22.4218314930001)
22.4218314930001,120.840468312,c(120.840468312,22.4218314930001)
22.4218314930001,120.880475632,c(120.880475632,22.4218314930001)
22.4218314930001,120.920482952,c(120.920482952,22.4218314930001)
22.4618663230001,120.440395112,c(120.440395112,22.4618663230001)
22.4618663230001,120.480402432,c(120.480402432,22.4618663230001)
22.4618663230001,120.520409752,c(120.520409752,22.4618663230001)
22.4618663230001,120.560417072,c(120.560417072,22.4618663230001)
22.4618663230001,120.600424392,c(120.600424392,22.4618663230001)
22.4618663230001,120.640431712,c(120.640431712,22.4618663230001)
22.4618663230001,120.680439032,c(120.680439032,22.4618663230001)
22.4618663230001,120.720446352,c(120.720446352,22.4618663230001)
22.4618663230001,120.760453672,c(120.760453672,22.4618663230001)
22.4618663230001,120.800460992,c(120.800460992,22.4618663230001)
22.4618663230001,120.840468312,c(120.840468312,22.4618663230001)
22.4618663230001,120.880475632,c(120.880475632,22.4618663230001)
22.4618663230001,120.920482952,c(120.920482952,22.4618663230001)
22.5019011530001,120.360380472,c(120.360380472,22.5019011530001)
22.5019011530001,120.400387792,c(120.400387792,22.5019011530001)
22.5019011530001,120.440395112,c(120.440395112,22.5019011530001)
22.5019011530001,120.480402432,c(120.480402432,22.5019011530001)
22.5019011530001,120.520409752,c(120.520409752,22.5019011530001)
22.5019011530001,120.560417072,c(120.560417072,22.5019011530001)
22.5019011530001,120.600424392,c(120.600424392,22.5019011530001)
22.5019011530001,120.640431712,c(120.640431712,22.5019011530001)
22.5019011530001,120.680439032,c(120.680439032,22.5019011530001)
22.5019011530001,120.720446352,c(120.720446352,22.5019011530001)
22.5019011530001,120.760453672,c(120.760453672,22.5019011530001)
22.5019011530001,120.800460992,c(120.800460992,22.5019011530001)
22.5019011530001,120.840468312,c(120.840468312,22.5019011530001)
22.5019011530001,120.880475632,c(120.880475632,22.5019011530001)
22.5019011530001,120.920482952,c(120.920482952,22.5019011530001)
22.5419359830001,120.320373152,c(120.320373152,22.5419359830001)
22.5419359830001,120.360380472,c(120.360380472,22.5419359830001)
22.5419359830001,120.400387792,c(120.400387792,22.5419359830001)
22.5419359830001,120.440395112,c(120.440395112,22.5419359830001)
22.5419359830001,120.480402432,c(120.480402432,22.5419359830001)
22.5419359830001,120.520409752,c(120.520409752,22.5419359830001)
22.5419359830001,120.560417072,c(120.560417072,22.5419359830001)
22.5419359830001,120.600424392,c(120.600424392,22.5419359830001)
22.5419359830001,120.640431712,c(120.640431712,22.5419359830001)
22.5419359830001,120.680439032,c(120.680439032,22.5419359830001)
22.5419359830001,120.720446352,c(120.720446352,22.5419359830001)
22.5419359830001,120.760453672,c(120.760453672,22.5419359830001)
22.5419359830001,120.800460992,c(120.800460992,22.5419359830001)
22.5419359830001,120.840468312,c(120.840468312,22.5419359830001)
22.5419359830001,120.880475632,c(120.880475632,22.5419359830001)
22.5419359830001,120.920482952,c(120.920482952,22.5419359830001)
22.5419359830001,120.960490272,c(120.960490272,22.5419359830001)
22.5819708130001,120.320373152,c(120.320373152,22.5819708130001)
22.5819708130001,120.360380472,c(120.360380472,22.5819708130001)
22.5819708130001,120.400387792,c(120.400387792,22.5819708130001)
22.5819708130001,120.440395112,c(120.440395112,22.5819708130001)
22.5819708130001,120.480402432,c(120.480402432,22.5819708130001)
22.5819708130001,120.520409752,c(120.520409752,22.5819708130001)
22.5819708130001,120.560417072,c(120.560417072,22.5819708130001)
22.5819708130001,120.600424392,c(120.600424392,22.5819708130001)
22.5819708130001,120.640431712,c(120.640431712,22.5819708130001)
22.5819708130001,120.680439032,c(120.680439032,22.5819708130001)
22.5819708130001,120.720446352,c(120.720446352,22.5819708130001)
22.5819708130001,120.760453672,c(120.760453672,22.5819708130001)
22.5819708130001,120.800460992,c(120.800460992,22.5819708130001)
22.5819708130001,120.840468312,c(120.840468312,22.5819708130001)
22.5819708130001,120.880475632,c(120.880475632,22.5819708130001)
22.5819708130001,120.920482952,c(120.920482952,22.5819708130001)
22.5819708130001,120.960490272,c(120.960490272,22.5819708130001)
22.5819708130001,121.000497592,c(121.000497592,22.5819708130001)
22.6220056430001,120.280365832,c(120.280365832,22.6220056430001)
22.6220056430001,120.320373152,c(120.320373152,22.6220056430001)
22.6220056430001,120.360380472,c(120.360380472,22.6220056430001)
22.6220056430001,120.400387792,c(120.400387792,22.6220056430001)
22.6220056430001,120.440395112,c(120.440395112,22.6220056430001)
22.6220056430001,120.480402432,c(120.480402432,22.6220056430001)
22.6220056430001,120.520409752,c(120.520409752,22.6220056430001)
22.6220056430001,120.560417072,c(120.560417072,22.6220056430001)
22.6220056430001,120.600424392,c(120.600424392,22.6220056430001)
22.6220056430001,120.640431712,c(120.640431712,22.6220056430001)
22.6220056430001,120.680439032,c(120.680439032,22.6220056430001)
22.6220056430001,120.720446352,c(120.720446352,22.6220056430001)
22.6220056430001,120.760453672,c(120.760453672,22.6220056430001)
22.6220056430001,120.800460992,c(120.800460992,22.6220056430001)
22.6220056430001,120.840468312,c(120.840468312,22.6220056430001)
22.6220056430001,120.880475632,c(120.880475632,22.6220056430001)
22.6220056430001,120.920482952,c(120.920482952,22.6220056430001)
22.6220056430001,120.960490272,c(120.960490272,22.6220056430001)
22.6220056430001,121.000497592,c(121.000497592,22.6220056430001)
22.6620404730001,120.280365832,c(120.280365832,22.6620404730001)
22.6620404730001,120.320373152,c(120.320373152,22.6620404730001)
22.6620404730001,120.360380472,c(120.360380472,22.6620404730001)
22.6620404730001,120.400387792,c(120.400387792,22.6620404730001)
22.6620404730001,120.440395112,c(120.440395112,22.6620404730001)
22.6620404730001,120.480402432,c(120.480402432,22.6620404730001)
22.6620404730001,120.520409752,c(120.520409752,22.6620404730001)
22.6620404730001,120.560417072,c(120.560417072,22.6620404730001)
22.6620404730001,120.600424392,c(120.600424392,22.6620404730001)
22.6620404730001,120.640431712,c(120.640431712,22.6620404730001)
22.6620404730001,120.680439032,c(120.680439032,22.6620404730001)
22.6620404730001,120.720446352,c(120.720446352,22.6620404730001)
22.6620404730001,120.760453672,c(120.760453672,22.6620404730001)
22.6620404730001,120.800460992,c(120.800460992,22.6620404730001)
22.6620404730001,120.840468312,c(120.840468312,22.6620404730001)
22.6620404730001,120.880475632,c(120.880475632,22.6620404730001)
22.6620404730001,120.920482952,c(120.920482952,22.6620404730001)
22.6620404730001,120.960490272,c(120.960490272,22.6620404730001)
22.6620404730001,121.000497592,c(121.000497592,22.6620404730001)
22.6620404730001,121.480585432,c(121.480585432,22.6620404730001)
22.7020753030001,120.280365832,c(120.280365832,22.7020753030001)
22.7020753030001,120.320373152,c(120.320373152,22.7020753030001)
22.7020753030001,120.360380472,c(120.360380472,22.7020753030001)
22.7020753030001,120.400387792,c(120.400387792,22.7020753030001)
22.7020753030001,120.440395112,c(120.440395112,22.7020753030001)
22.7020753030001,120.480402432,c(120.480402432,22.7020753030001)
22.7020753030001,120.520409752,c(120.520409752,22.7020753030001)
22.7020753030001,120.560417072,c(120.560417072,22.7020753030001)
22.7020753030001,120.600424392,c(120.600424392,22.7020753030001)
22.7020753030001,120.640431712,c(120.640431712,22.7020753030001)
22.7020753030001,120.680439032,c(120.680439032,22.7020753030001)
22.7020753030001,120.720446352,c(120.720446352,22.7020753030001)
22.7020753030001,120.760453672,c(120.760453672,22.7020753030001)
22.7020753030001,120.800460992,c(120.800460992,22.7020753030001)
22.7020753030001,120.840468312,c(120.840468312,22.7020753030001)
22.7020753030001,120.880475632,c(120.880475632,22.7020753030001)
22.7020753030001,120.920482952,c(120.920482952,22.7020753030001)
22.7020753030001,120.960490272,c(120.960490272,22.7020753030001)
22.7020753030001,121.000497592,c(121.000497592,22.7020753030001)
22.7020753030001,121.040504912,c(121.040504912,22.7020753030001)
22.7020753030001,121.080512232,c(121.080512232,22.7020753030001)
22.7421101330001,120.280365832,c(120.280365832,22.7421101330001)
22.7421101330001,120.320373152,c(120.320373152,22.7421101330001)
22.7421101330001,120.360380472,c(120.360380472,22.7421101330001)
22.7421101330001,120.400387792,c(120.400387792,22.7421101330001)
22.7421101330001,120.440395112,c(120.440395112,22.7421101330001)
22.7421101330001,120.480402432,c(120.480402432,22.7421101330001)
22.7421101330001,120.520409752,c(120.520409752,22.7421101330001)
22.7421101330001,120.560417072,c(120.560417072,22.7421101330001)
22.7421101330001,120.600424392,c(120.600424392,22.7421101330001)
22.7421101330001,120.640431712,c(120.640431712,22.7421101330001)
22.7421101330001,120.680439032,c(120.680439032,22.7421101330001)
22.7421101330001,120.720446352,c(120.720446352,22.7421101330001)
22.7421101330001,120.760453672,c(120.760453672,22.7421101330001)
22.7421101330001,120.800460992,c(120.800460992,22.7421101330001)
22.7421101330001,120.840468312,c(120.840468312,22.7421101330001)
22.7421101330001,120.880475632,c(120.880475632,22.7421101330001)
22.7421101330001,120.920482952,c(120.920482952,22.7421101330001)
22.7421101330001,120.960490272,c(120.960490272,22.7421101330001)
22.7421101330001,121.000497592,c(121.000497592,22.7421101330001)
22.7421101330001,121.040504912,c(121.040504912,22.7421101330001)
22.7421101330001,121.080512232,c(121.080512232,22.7421101330001)
22.7421101330001,121.120519552,c(121.120519552,22.7421101330001)
22.7821449630001,120.240358512,c(120.240358512,22.7821449630001)
22.7821449630001,120.280365832,c(120.280365832,22.7821449630001)
22.7821449630001,120.320373152,c(120.320373152,22.7821449630001)
22.7821449630001,120.360380472,c(120.360380472,22.7821449630001)
22.7821449630001,120.400387792,c(120.400387792,22.7821449630001)
22.7821449630001,120.440395112,c(120.440395112,22.7821449630001)
22.7821449630001,120.480402432,c(120.480402432,22.7821449630001)
22.7821449630001,120.520409752,c(120.520409752,22.7821449630001)
22.7821449630001,120.560417072,c(120.560417072,22.7821449630001)
22.7821449630001,120.600424392,c(120.600424392,22.7821449630001)
22.7821449630001,120.640431712,c(120.640431712,22.7821449630001)
22.7821449630001,120.680439032,c(120.680439032,22.7821449630001)
22.7821449630001,120.720446352,c(120.720446352,22.7821449630001)
22.7821449630001,120.760453672,c(120.760453672,22.7821449630001)
22.7821449630001,120.800460992,c(120.800460992,22.7821449630001)
22.7821449630001,120.840468312,c(120.840468312,22.7821449630001)
22.7821449630001,120.880475632,c(120.880475632,22.7821449630001)
22.7821449630001,120.920482952,c(120.920482952,22.7821449630001)
22.7821449630001,120.960490272,c(120.960490272,22.7821449630001)
22.7821449630001,121.000497592,c(121.000497592,22.7821449630001)
22.7821449630001,121.040504912,c(121.040504912,22.7821449630001)
22.7821449630001,121.080512232,c(121.080512232,22.7821449630001)
22.7821449630001,121.120519552,c(121.120519552,22.7821449630001)
22.7821449630001,121.160526872,c(121.160526872,22.7821449630001)
22.8221797930001,120.240358512,c(120.240358512,22.8221797930001)
22.8221797930001,120.280365832,c(120.280365832,22.8221797930001)
22.8221797930001,120.320373152,c(120.320373152,22.8221797930001)
22.8221797930001,120.360380472,c(120.360380472,22.8221797930001)
22.8221797930001,120.400387792,c(120.400387792,22.8221797930001)
22.8221797930001,120.440395112,c(120.440395112,22.8221797930001)
22.8221797930001,120.480402432,c(120.480402432,22.8221797930001)
22.8221797930001,120.520409752,c(120.520409752,22.8221797930001)
22.8221797930001,120.560417072,c(120.560417072,22.8221797930001)
22.8221797930001,120.600424392,c(120.600424392,22.8221797930001)
22.8221797930001,120.640431712,c(120.640431712,22.8221797930001)
22.8221797930001,120.680439032,c(120.680439032,22.8221797930001)
22.8221797930001,120.720446352,c(120.720446352,22.8221797930001)
22.8221797930001,120.760453672,c(120.760453672,22.8221797930001)
22.8221797930001,120.800460992,c(120.800460992,22.8221797930001)
22.8221797930001,120.840468312,c(120.840468312,22.8221797930001)
22.8221797930001,120.880475632,c(120.880475632,22.8221797930001)
22.8221797930001,120.920482952,c(120.920482952,22.8221797930001)
22.8221797930001,120.960490272,c(120.960490272,22.8221797930001)
22.8221797930001,121.000497592,c(121.000497592,22.8221797930001)
22.8221797930001,121.040504912,c(121.040504912,22.8221797930001)
22.8221797930001,121.080512232,c(121.080512232,22.8221797930001)
22.8221797930001,121.120519552,c(121.120519552,22.8221797930001)
22.8221797930001,121.160526872,c(121.160526872,22.8221797930001)
